video_id,create_time,clean_description,author,hashtag_list,hashtag_count,hashtag_categories,total_engagement,predicted_proba,confidence_score
7506997846747417902,2025-05-21 20:25:55,when green lantern jumps you in greenlantern haljordan devontetheone johnstewart dccomics dcuniverse,therealdevontetheone,"['greenlantern', 'haljordan', 'devontetheone', 'johnstewart', 'dccomics', 'dcuniverse']",6,DIY,89809,0.5237002319347224,0.04740046386944474
7506964905719860522,2025-05-21 18:18:05,how did it turn out cakesbymarian cakedecorating cakevideo cakeart cake cakes cakeprank realisticcake realorcake isitcake,cakesbymarian,"['cakesbymarian', 'cakedecorating', 'cakevideo', 'cakeart', 'cake', 'cakes', 'cakeprank', 'realisticcake', 'realorcake', 'isitcake']",10,DIY,297633,0.3203555111909038,0.35928897761819245
7506919408745401643,2025-05-21 15:21:34,ive always been told im a playboy fyp tiktok usa nba jaysontatum,movie.88us,"['fyp', 'tiktok', 'usa', 'nba', 'jaysontatum']",5,Sports,22118,0.3014614812363792,0.39707703752724155
7507011668690439467,2025-05-21 21:19:33,part    elfcosmetics elf cosmetics  walmart  diy elfhaloglow lipgloss girly elf virall viralvideo fyppppp elfhaloglowliquidfilter tiktokfamous katiefang elflipglosselfcosmeticslipgloss elfhaloglowliquidfilterelfhaloglow girlytoklipglossfillingpinktok diyrhinestonesbedazzledbling walmart walmartfinds,meya_mercedes,"['diy', 'elfhaloglow', 'lipgloss', 'girly', 'elf', 'virall', 'viralvideo', 'fyppppp', 'elfhaloglowliquidfilter', 'tiktokfamous', 'katiefang', 'elflipgloss', 'elfcosmetics', 'girlytok', 'lipglossfilling', 'pinktok', 'rhinestones', 'bedazzled', 'bling', 'walmart', 'walmartfinds']",21,DIY,85630,0.28917290013874974,0.4216541997225005
7506695426775485739,2025-05-21 00:52:21,cars ss camaro fyp cartok ls trending supercar,lay.low.chrisx,"['cars', 'ss', 'camaro', 'fyp', 'cartok', 'ls', 'trending', 'supercar']",8,DIY,78669,0.27971854565000126,0.4405629086999975
7507011140736634155,2025-05-21 21:17:32,yap concerts,micuul,"['yap', 'concerts']",2,Music,301368,0.27303925792230027,0.45392148415539946
7504096610326940971,2025-05-14 00:47:36,umm hello imma start posting againnyc getmefamous thisisajoke donttakemeseriously,_xoxonicky,"['nyc', 'getmefamous', 'thisisajoke', 'donttakemeseriously']",4,Comedy,273103,0.23695029720916058,0.5260994055816788
7506632640074681630,2025-05-20 20:48:59,the hardest rejections in nba history did i miss anycreatorsearchinsights nba nbaedits basketball nbablocks,lukecanhoop,"['creatorsearchinsights', 'nba', 'nbaedits', 'basketball', 'nbablocks']",5,Sports,171055,0.23439691963584686,0.5312061607283063
7507022150662950175,2025-05-21 22:00:09,loveislandusa loveisland,loveislandreality_,"['loveislandusa', 'loveisland']",2,Relationship,144057,0.231726899710403,0.536546200579194
7506916658112466206,2025-05-21 15:10:52,yall dont understand them like i dofyp foryoupage pokemon alola johto galar trend,kel_cosplays,"['fyp', 'foryoupage', 'pokemon', 'alola', 'johto', 'galar', 'trend']",7,Comedy,87833,0.23137057030983701,0.537258859380326
